x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
0.00021899999999999998,12276399069179.545,11913576644744.352,9004087530684.432,5299850667979.767
0.00021999999999999998,12252483416334.441,11949968522913.748,9076862963421.133,5369466977634.238
0.00022099999999999998,12227391553277.969,11985272978525.29,9149311625835.781,5439453761341.96
0.000222,12201130901754.629,12019479727978.367,9221416362919.182,5509801760066.558
0.000223,12173709218188.215,12052578787577.957,9293159987184.406,5580501485499.291
0.000224,12145134589864.035,12084560478389.412,9364525285312.406,5651543220913.536
0.000225,12115415430954.3,12115415430954.3,9435495024862.59,5722917022145.179
0.000226,12084560478389.414,12145134589864.033,9506051961044.867,5794612718699.981
0.000227,12052578787577.957,12173709218188.215,9576178843549.576,5866619914988.87
0.00022799999999999999,12019479727978.367,12201130901754.629,9645858423431.574,5938927991691.988
0.00022899999999999998,11985272978525.291,12227391553277.967,9715073460044.777,6011526107252.329
0.00022999999999999998,11949968522913.75,12252483416334.441,9783806728023.35,6084403199499.645
0.00023099999999999998,11913576644744.354,12276399069179.545,9852041024305.654,6157547987405.258
0.000232,11876107922532.836,12299131428406.354,9919759175197.082,6230948972968.326
0.000233,11837573224587.322,12320673752441.816,9986944043467.723,6304594443233.985
0.000234,11797983703756.79,12341019644878.63,10053578535480.922,6378472472443.797
0.000235,11757350792054.275,12360163057640.412,10119645608348.584,6452570924318.704
0.000236,11715686195158.47,12378098293977.934,10185128277109.115,6526877454474.748
0.000237,11673001886797.367,12394820011294.38,10250009621923.855,6601379512971.6045
0.00023799999999999998,11629310103017.76,12410323223797.666,10314272795287.76,6676064346993.962
0.00023899999999999998,11584623336344.441,12424603304977.928,10377901029250.102,6750919003665.659
0.00023999999999999998,11538954329832.95,12437655989908.53,10440877642640.896,6825930332996.366
0.00024099999999999998,11492316071019.875,12449477377368.918,10503186048298.773,6901084990960.583
0.000242,11444721785774.719,12460063931787.91,10564809760295.89,6976369442708.532
0.000243,11396184932057.38,12469412485005.996,10625732401155.588,7051769965908.501
0.000244,11346719193585.371,12477520237855.467,10685937709058.365,7127272654220.0625
0.000245,11296338473414.951,12484384761557.26,10745409545031.775,7202863420897.498
0.00024599999999999996,11245056887440.396,12490003998933.547,10804131900119.82,7278528002522.663
0.000247,11192888757815.59,12494376265435.178,10862088902527.445,7354251962866.433
0.000248,11139848606302.305,12497500249983.334,10919264824735.627,7430020696877.734
0.000249,11085951147549.424,12499375015624.738,10975644090582.701,7505819434799.153
0.00025,11031211282307.443,12500000000000.0,11031211282307.441,7581633246407.918
0.000251,10975644090582.705,12499375015624.738,11085951147549.42,7657447045380.962
0.000252,10919264824735.627,12497500249983.334,11139848606302.303,7733245593782.781
0.00025299999999999997,10862088902527.451,12494376265435.178,11192888757815.584,7809013506674.524
0.000254,10804131900119.826,12490003998933.547,11245056887440.393,7884735256842.853
0.00025499999999999996,10745409545031.781,12484384761557.262,11296338473414.947,7960395179646.787
0.000256,10685937709058.37,12477520237855.467,11346719193585.367,8035977477980.9
0.000257,10625732401155.592,12469412485005.996,11396184932057.38,8111466227352.873
0.000258,10564809760295.895,12460063931787.912,11444721785774.717,8186845381073.539
0.000259,10503186048298.777,12449477377368.918,11492316071019.871,8262098775557.333
